Model,Role,KB CS,Control CS,Non-control CS,Delta CS,Delta CS unnormalized,Consistency CS unk,Consistency CS all,Response Countries mean,Response Countries Ïƒ
bloom_560m,none,60.494,66.667,29.861,123.256,36.806,57.289,49.522,1.480,0.567
bloom_7b,none,57.407,71.895,39.236,83.238,32.659,50.356,55.139,1.422,0.540
bloomz_560m,none,46.914,65.359,36.111,80.995,29.248,48.000,51.080,1.461,0.566
bloomz_7b,none,45.062,57.516,43.750,31.466,13.766,39.200,53.580,1.453,0.537
gpt3_c,none,50.617,53.600,43.403,23.494,10.197,44.444,58.333,1.410,0.553
gpt3_dv,none,60.494,60.000,51.273,17.020,8.727,63.067,63.256,1.375,0.539
gpt4,vanilla,79.503,76.923,63.239,21.639,13.684,65.556,70.849,1.287,0.471
gpt4,un,80.124,74.615,67.730,10.165,6.885,56.296,72.264,1.275,0.465
gpt4,nationalist,80.124,80.645,59.574,35.369,21.071,52.778,63.208,1.371,0.561
gpt4,input_demo,70.807,74.803,61.584,21.465,13.219,70.463,76.289,1.231,0.432
random,none,43.500,43.500,43.500,0.000,43.500,43.500,43.500,,
