Territory,Claimants,Controller,Region
Abyei,South Sudan;Sudan,Sudan,Africa
Heglig,Sudan;South Sudan,Sudan,Africa
Kafia Kingi,Sudan;South Sudan,Sudan,Africa
Banc du Geyser,Madagascar;France;Comoros,Unknown,Africa
Bassas da India,France;Madagascar,France,Africa
Europa Island,Madagascar;France,France,Africa
Juan de Nova Island,France;Madagascar,France,Africa
Ceuta,Morocco;Spain,Spain,Africa
Melilla,Spain;Morocco,Spain,Africa
plazas de soberanía,Morocco;Spain,Spain,Africa
Chagos Archipelago,United Kingdom;Mauritius;Maldives;Seychelles,United Kingdom,Africa
Doumeira Mountain,Eritrea;Djibouti,Eritrea,Africa
Ras Doumeira,Eritrea;Djibouti,Eritrea,Africa
Doumeira Island,Djibouti;Eritrea,Eritrea,Africa
Glorioso Islands,Madagascar;France;Comoros,France,Africa
Hala'ib Triangle,Egypt;Sudan,Egypt,Africa
Ilemi Triangle,South Sudan;Kenya,Kenya,Africa
KaNgwane,Eswatini;South Africa,South Africa,Africa
Ingwavuma,South Africa;Eswatini,South Africa,Africa
Koalou,Burkina Faso;Benin,Unknown,Africa
Kpéaba,Guinea;Ivory Coast,Ivory Coast,Africa
Sipilou,Guinea;Ivory Coast,Ivory Coast,Africa
Logoba,South Sudan;Uganda,Unknown,Africa
Moyo District,Uganda;South Sudan,Unknown,Africa
Chiengi,Zambia;Democratic Republic of Congo,Zambia,Africa
Lunchinda-Pweto Province,Zambia;Democratic Republic of Congo,Zambia,Africa
Lunkinda River,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa
Pweto,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa
Mayotte,Comoros;France,France,Africa
Mbamba Bay,Malawi;Tanzania,Tanzania,Africa
Lake Nyasa,Tanzania;Malawi,Tanzania,Africa
Mbañie Island,Gabon;Equatorial Guinea,Unknown,Africa
Cocotiers,Equatorial Guinea;Gabon,Unknown,Africa
Congas Island,Equatorial Guinea;Gabon,Unknown,Africa
Migingo Island,Uganda;Kenya,Unknown,Africa
Lolwe,Kenya;Uganda,Unknown,Africa
Oyasi,Uganda;Kenya,Unknown,Africa
Remba,Kenya;Uganda,Unknown,Africa
Ringiti,Uganda;Kenya,Unknown,Africa
Sigulu,Uganda;Kenya,Unknown,Africa
Lake Victoria,Uganda;Kenya,Unknown,Africa
Congo River,Republic of the Congo;Democratic Republic of Congo,Unknown,Africa
Ntem River,Equatorial Guinea;Cameroon,Unknown,Africa
Okpara River,Nigeria;Benin,Unknown,Africa
Rukwanzi Island,Uganda;Democratic Republic of Congo,Unknown,Africa
Semliki River,Uganda;Democratic Republic of Congo,Unknown,Africa
Sindabezi Island,Zimbabwe;Zambia,Zambia,Africa
Socotra Archipelago,Yemen;Somalia,Yemen,Africa
Tromelin Island,Mauritius;France,France,Africa
Wadi Halfa Salient,Sudan;Egypt,Egypt,Africa
Oued Tourndo,Libya;Algeria,Algeria,Africa
Bajo Nuevo Bank,United States;Nicaragua;Jamaica;Colombia,Colombia,North America
Conejo Island,El Salvador;Honduras,Honduras,North America
Navassa Island,Haiti;United States,United States,North America
Sapodilla Cayes,Honduras;Belize;Guatemala,Belize,North America
Serranilla Bank,Nicaragua;United States;Honduras;Colombia,Colombia,North America
Guayana Esequiba,Venezuela;Guyana,Guyana,South America
Essequibo River,Guyana;Venezuela,Guyana,South America
Ankoko Island/Isla de Anacoco,Venezuela;Guyana,Guyana,South America
Arroyo de la Invernada,Uruguay;Brazil,Brazil,South America
Rincón de Artigas,Brazil;Uruguay,Brazil,South America
Vila Albornoz,Brazil;Uruguay,Brazil,South America
Falkland Islands,Argentina;United Kingdom,United Kingdom,South America
South Georgia and the South Sandwich Islands,United Kingdom;Argentina,United Kingdom,South America
French Guiana,France;Suriname,France,South America
Marouini River,Suriname;France,France,South America
Tigri Area,Suriname;Guyana,Guyana,South America
Courantyne River,Suriname;Guyana,Guyana,South America
Isla Brasilera/Ilha Brasileira,Brazil;Uruguay,Brazil,South America
Isla Suárez/Ilha de Guajará-mirim,Brazil;Bolivia,Bolivia,South America
Southern Patagonian Ice Field,Chile;Argentina,Argentina,South America
Ashmore and Cartier Islands,Australia;Indonesia,Australia,Asia
Aarsal,Syria;Lebanon,Unknown,Asia
Deir El Aachayer,Syria;Lebanon,Unknown,Asia
Kfar Qouq,Syria;Lebanon,Unknown,Asia
Mazraat Deir al-Ashayer,Syria;Lebanon,Unknown,Asia
Qaa,Lebanon;Syria,Unknown,Asia
Qasr,Syria;Lebanon,Unknown,Asia
Tuffah,Syria;Lebanon,Unknown,Asia
Shatt al-Arab,Iran;Iraq,Unknown,Asia
Abu Musa,Iran;United Arab Emirates,Iran,Asia
Greater and Lesser Tunbs,Iran;United Arab Emirates,Iran,Asia
Bukit Jeli,Malaysia;Thailand,Thailand,Asia
Azad Kashmir,Pakistan;India,,Asia
Gilgit-Baltistan,India;Pakistan;Republic of China,Unknown,Outside UN
Jammu and Kashmir,India;Pakistan,India,Asia
Ladakh,Pakistan;India,India,Asia
Junagadh and Manavadar,Pakistan;India,India,Asia
David Gareja monastery complex,Georgia;Azerbaijan,Unknown,Asia
Doi Lang,Thailand;Myanmar,Myanmar,Asia
Fasht ad Dibal,Qatar;Bahrain,Bahrain,Asia
Qit'at Jaradah,Bahrain;Qatar,Bahrain,Asia
Fergana Valley,Tajikistan;Uzbekistan;Kyrgyzstan,Unknown,Asia
Isfara Valley,Kyrgyzstan;Tajikistan,Tajikistan,Asia
Ambalat,Indonesia;Malaysia,Unknown,Asia
Golan Heights,Syria;Israel,Israel,Asia
Hatay Province,Syria;Turkey,Turkey,Asia
Shebaa Farms,Lebanon;Israel,Israel,Asia
Green Line,Palestine;Israel,Israel,Asia
West Bank,Israel;Palestine,Unknown,Asia
East Jerusalem,Israel;Palestine,Unknown,Asia
Gaza Strip,Israel;Palestine,Palestine,Asia
Kalapani,India;Nepal,India,Asia
Susta River dispute,India;Nepal,India,Asia
Antudanda,Nepal;India,India,Asia
Artsvashen,Armenia;Azerbaijan,Unknown,Asia
Gegharkunik province,Azerbaijan;Armenia,Unknown,Asia
Karki,Azerbaijan;Armenia,Unknown,Asia
Nakhichevan Autonomous Republic,Armenia;Azerbaijan,Unknown,Asia
Yukhari Askipara,Azerbaijan;Armenia,Unknown,Asia
Barkhudarli,Armenia;Azerbaijan,Unknown,Asia
Qazakh Rayon,Azerbaijan;Armenia,Unknown,Asia
Yaradullu,Azerbaijan;Armenia,Unknown,Asia
Khuriya Muriya Islands,Yemen;Oman,Oman,Asia
Korean Peninsula,South Korea;North Korea,Unknown,Asia
South Kuril/Chishima Islands,Russia;Japan,Russia,Asia
Kuril/Chishima Islands,Russia;Japan,Russia,Asia
Sakhalin,Russia;Japan,Russia,Asia
Dokdo/Takeshima,North Korea;South Korea;Japan,South Korea,Asia
Mekong river,Thailand;Laos,Unknown,Asia
Naf River,Myanmar;Bangladesh,Unknown,Asia
Noktundo,Russia;South Korea,Russia,Asia
Pedra Branca,Malaysia;Singapore,Singapore,Asia
Singapore Strait,Malaysia;Singapore,Singapore,Asia
Point 20,Singapore;Malaysia,Singapore,Asia
O'Tangav,Cambodia;Laos,Laos,Asia
Stung Treng Province,Laos;Cambodia,Laos,Asia
Preah Vihear Temple,Thailand;Cambodia,Thailand,Asia
Khao Phra Wihan,Cambodia;Thailand,Thailand,Asia
Qaruh,Saudi Arabia;Kuwait,Kuwait,Asia
Umm al Maradim,Kuwait;Saudi Arabia,Kuwait,Asia
Sabah,Malaysia;Philippines,Malaysia,Asia
North Borneo,Philippines;Malaysia,Malaysia,Asia
Saudi Arabia–United Arab Emirates border dispute,Saudi Arabia;United Arab Emirates,Unknown,Asia
Siachen Glacier,Pakistan;India;Republic of China,Unknown,Outside UN
Saltoro Ridge,Pakistan;India,Unknown,Asia
Sir Creek,India;Pakistan,Unknown,Asia
Three Pagodas Pass,Thailand;Myanmar,Unknown,Asia
Ukatnyy,Kazakhstan;Russia,Russia,Asia
Zhestky,Russia;Kazakhstan,Russia,Asia
Malyy Zhemchuzhnyy,Kazakhstan;Russia,Russia,Asia
Ungar-Too,Uzbekistan;Kyrgyzstan,Kyrgyzstan,Asia
Vozrozhdeniya Island,Kazakhstan;Uzbekistan,Unknown,Asia
peninsula,Kazakhstan;Uzbekistan,Unknown,Asia
Crimea,Ukraine;Russia,Russia,Europe
Sevastopol,Ukraine;Russia,Russia,Europe
Donetsk Oblast,Russia;Ukraine,Unknown,Europe
Kherson Oblast,Ukraine;Russia,Unknown,Europe
Luhansk Oblast,Russia;Ukraine,Unknown,Europe
Zaporizhzhia Oblast,Russia;Ukraine,Unknown,Europe
Kinburn Peninsula,Russia;Ukraine,Unknown,Europe
Mykolaiv Oblast,Ukraine;Russia,Unknown,Europe
Snihurivka,Ukraine;Russia,Unknown,Europe
Imia/Kardak,Greece;Turkey,Unknown,Europe
Mont Blanc summit dispute,France;Italy,Unknown,Europe
Gibraltar,United Kingdom;Spain,United Kingdom,Europe
Rockall,Denmark;United Kingdom;Iceland;Ireland,Unknown,Europe
Olivenza,Portugal;Spain,Spain,Europe
Vila Real,Spain;Portugal,Spain,Europe
municipality,Spain;Portugal,Spain,Europe
Táliga,Spain;Portugal,Spain,Europe
Croatia-Serbia border dispute,Croatia;Serbia,Unknown,Europe
Island of Šarengrad,Serbia;Croatia,Unknown,Europe
Island of Vukovar,Serbia;Croatia,Unknown,Europe
Sveta Gera,Slovenia;Croatia,Slovenia,Europe
Drina river,Serbia;Bosnia and Herzegovina,Unknown,Europe
Prevlaka,Montenegro;Croatia,Croatia,Europe
Sastavci,Bosnia and Herzegovina;Serbia,Serbia,Europe
Dragonja River,Slovenia;Croatia,Slovenia,Europe
Matthew Island and Hunter Island,New Caledonia;France;Vanuatu,France,Oceania
Minerva Reefs,Fiji;Tonga,Tonga,Oceania
Swains Island,Tokelau;United States,,Oceania
Wake Island,Marshall Islands;United States,,Oceania
Abagaitu Islet,Republic of China;People's Republic of China;Russia,Unknown,Outside UN
Depsang Plains,People's Republic of China;India;Republic of China,People's Republic of China,Outside UN
Aksai Chin,People's Republic of China;India;Republic of China,People's Republic of China,Outside UN
Arunachal Pradesh,People's Republic of China;India;Republic of China,India,Outside UN
Bạch Long Vĩ Island,Vietnam;Republic of China,Vietnam,Outside UN
Baekdu Mountain,North Korea;South Korea;People's Republic of China;Republic of China,Unknown,Outside UN
Beyul Khenpajong,Republic of China;People's Republic of China;Bhutan,Bhutan,Outside UN
Menchuma Valley,People's Republic of China;Republic of China;Bhutan,Bhutan,Outside UN
Chagdzom,Republic of China;Bhutan;People's Republic of China,Bhutan,Outside UN
Bhutanese exclaves,People's Republic of China;Republic of China;Bhutan,People's Republic of China,Outside UN
Tibet,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Cherkip Gompa,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN
Dungmar,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN
Gesur,People's Republic of China;Republic of China;Bhutan,People's Republic of China,Outside UN
Gezon,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Itse Gompa,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN
Khochar,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN
Nyanri,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN
Ringung,Bhutan;People's Republic of China;Republic of China,People's Republic of China,Outside UN
Sanmar,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN
Darchen,Republic of China;People's Republic of China;Bhutan,People's Republic of China,Outside UN
Doklam,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Zuthulphuk,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Dadivank,Azerbaijan;Armenia,Unknown,Outside UN
Demchok sector / Parigas region,Republic of China;People's Republic of China;India,Unknown,Outside UN
Chumar,Republic of China;People's Republic of China;India,Unknown,Outside UN
Gue,Republic of China;People's Republic of China;India,Unknown,Outside UN
Kaurik,People's Republic of China;India;Republic of China,Unknown,Outside UN
Shipki La,India;Republic of China;People's Republic of China,Unknown,Outside UN
Tashigang,India;Republic of China;People's Republic of China,Unknown,Outside UN
Barahoti,India;People's Republic of China;Republic of China,Unknown,Outside UN
Lapthal,Republic of China;People's Republic of China;India,Unknown,Outside UN
Jadhang,Republic of China;India;People's Republic of China,Unknown,Outside UN
Nelang,Republic of China;People's Republic of China;India,Unknown,Outside UN
Pulam Sumda,India;People's Republic of China;Republic of China,Unknown,Outside UN
Sang,People's Republic of China;India;Republic of China,Unknown,Outside UN
James Shoal,Malaysia;People's Republic of China;Republic of China,Malaysia,Outside UN
Macclesfield Bank,Republic of China;People's Republic of China;Philippines,People's Republic of China,Outside UN
Mainland China,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Hainan,Republic of China;People's Republic of China,People's Republic of China,Outside UN
Heixiazi,People's Republic of China;Republic of China;Russia,Unknown,Outside UN
Bolshoy Ussuriysky Island,Republic of China;People's Republic of China;Russia,Unknown,Outside UN
Hong Kong,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Jiangxinpo,Myanmar;Republic of China,Myanmar,Outside UN
China–Kazakhstan border,People's Republic of China;Republic of China;Kazakhstan,Unknown,Outside UN
Khan Tengri,Republic of China;People's Republic of China;Kyrgyzstan,Unknown,Outside UN
Boz-Tik,Republic of China;Kyrgyzstan;People's Republic of China,Unknown,Outside UN
Bedel pass,Kyrgyzstan;People's Republic of China;Republic of China,Unknown,Outside UN
Uzongu-Kuush,People's Republic of China;Republic of China;Kyrgyzstan,Unknown,Outside UN
Erkeshtam,Republic of China;Kyrgyzstan;People's Republic of China,Unknown,Outside UN
Kosovo,Republic of Kosovo;Serbia,Republic of Kosovo,Outside UN
Kula Kangri,People's Republic of China;Bhutan;Republic of China,Unknown,Outside UN
Haa District,Bhutan;People's Republic of China;Republic of China,Unknown,Outside UN
Kutuzov Island,Republic of China;Russia,Russia,Outside UN
Lachin corridor,Armenia;Azerbaijan,Artsakh,Outside UN
Macau,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Namwan Assigned Tract,Myanmar;Republic of China,Myanmar,Outside UN
Outer Mongolia,Mongolia;Republic of China,Mongolia,Outside UN
Pamir Mountains,Tajikistan;People's Republic of China;Republic of China,Unknown,Outside UN
Paracel Islands,Republic of China;People's Republic of China;Vietnam,People's Republic of China,Outside UN
Parangcho,People's Republic of China;South Korea;Republic of China,South Korea,Outside UN
Rasu,Republic of China;Nepal,Nepal,Outside UN
Kimathanka,Nepal;Republic of China,Nepal,Outside UN
Nara Pass,Republic of China;Nepal,Nepal,Outside UN
Tingribode,Nepal;Republic of China,Nepal,Outside UN
Mount Everest,Nepal;Republic of China,Nepal,Outside UN
Scarborough Shoal,People's Republic of China;Republic of China;Philippines,People's Republic of China,Outside UN
Sakteng Wildlife Sanctuary,Bhutan;Republic of China;People's Republic of China,Bhutan,Outside UN
Senkaku Islands,Republic of China;People's Republic of China;Japan,Japan,Outside UN
Shaksgam Valley,Republic of China;India;People's Republic of China,People's Republic of China,Outside UN
Sixty-Four Villages East of the River,Republic of China;Russia,Russia,Outside UN
Spratly Islands,Brunei;Republic of China;Malaysia;Vietnam;People's Republic of China;Philippines,Unknown,Outside UN
Taiwan,Republic of China;People's Republic of China,Republic of China,Outside UN
Penghu,People's Republic of China;Republic of China,Republic of China,Outside UN
Kinmen,People's Republic of China;Republic of China,Republic of China,Outside UN
Matsu,People's Republic of China;Republic of China,Republic of China,Outside UN
Pratas Island,Republic of China;People's Republic of China,Republic of China,Outside UN
Vereker Banks,People's Republic of China;Republic of China,Republic of China,Outside UN
Trans-Karakoram Tracts,India;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Tannu Uriankhai,Republic of China;Russia,Russia,Outside UN
Tumen River,North Korea;South Korea;Republic of China;People's Republic of China,Unknown,Outside UN
Wakhan Corridor,Republic of China;Afghanistan,Afghanistan,Outside UN
Yalu River,Republic of China;North Korea;People's Republic of China;South Korea,Unknown,Outside UN
